Comment,Designator,Qty,MPN,Manufacturer,Footprint,LCSC Part #,JLCPCB Class,Mount,DNP,Unit Price USD,Notes,Datasheet
Eurorack power header 2x5 shrouded IDC,J1,1,2.54-2*5P,BOOMELE,IDC box 2x5 P2.54mm,C5665,Extended,THT,,0.0801,Red-stripe (-12V) end = pins 1/2; mark on silk,https://assets.lcsc.com/datasheet/szlcsc/Download-ISO9001-Certification.pdf
5V/1A buck module (7805 drop-in),U1,1,K7805-1000R3,YLPTEC,"SIP-3 (TSR-1 land, P2.54)",C2992391,Extended,THT,,2.04,Vin 8-36V; pin 1=Vin 2=GND 3=Vout,https://datasheet.lcsc.com/datasheet/pdf/313b6b20c299036ba7ffc00b257b15b5.pdf?productCode=C2992391
Schottky reverse protection 40V 3A,"D1, D2",2,SS34,MDD,SMA (DO-214AC),C8678,Basic,SMT,,0.0352,"D1 = +12V, D2 = -12V reverse protection",https://datasheet.lcsc.com/datasheet/pdf/dfa1ff67dea875d0135103ba9ada713a.pdf?productCode=C8678
22uF 25V X5R,"C1, C3, C7",3,GRT21BR61E226ME13L,Murata,0805,C398931,Extended,SMT,,0.1657,C1/C3 buck in/out bulk; C7 = -12V bulk at U2. JLC-basic Samsung equivalents out of stock 2026-07-23,https://datasheet.lcsc.com/datasheet/pdf/e6bf9871bf3c14261c20e97c8b0fc691.pdf?productCode=C398931
100nF 50V X7R,"C2, C4, C5, C6",4,CC0402KRX7R9BB104,Yageo,0402,C131394,Basic,SMT,,0.0097,Buck + op-amp rail decoupling. Same part as hat BOM,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C131394
Ferrite bead 600R@100MHz 2A,"FB1, FB2",2,MPZ2012S601AT000,TDK,0805,C21519,Basic,SMT,,0.0296,"FB1 = +12V, FB2 = -12V rail bead",https://datasheet.lcsc.com/datasheet/pdf/faf431921010bd6151d84a7da591b5d1.pdf?productCode=C21519
100k 1%,"R2, R7",2,RC0402FR-07100KL,YAGEO,0402,C60491,Basic,SMT,,0.0061,R2 = input attenuator series (with R3 = -11.5dB: 10Vpp -> 2.7Vpp); R7 = output amp input bias,https://www.lcsc.com/product-detail/C60491.html
39k 1%,"R3, R5",2,RC0402FR-0739KL,YAGEO,0402,C137995,Basic,SMT,,0.0055,R3 = input attenuator shunt; R5 = output amp feedback (x4.9 with R4),https://www.lcsc.com/product-detail/C137995.html
1x7 female socket 8.5mm stack,"J2, J3",2,PM254V-11-07-H85,XFCN,PinSocket 1x7 P2.54 TH,C2832270,Extended,THT,,0.079,Same part as hat J3/J4; mates carrier pins,https://datasheet.lcsc.com/datasheet/pdf/5aa023c30ffb4f607882b69ea05af7aa.pdf?productCode=C2832270
1x7 male header,"J4, J5",2,PZ254V-11-07P,XFCN,PinHeader 1x7 P2.54 TH,C492406,Extended,THT,,0.0206,Mates hat J3/J4 sockets; same XFCN family as J2/J3,https://www.lcsc.com/product-detail/C492406.html
1x4 male header,J8,1,B-2100S04P-A110,Ckmtw,PinHeader 1x4 P2.54 TH,C124378,Extended,THT,,0.0561,"Direct-mates hat J7 (1x4 female 8.5mm socket, hat-side part C541851); fallback = wires to hat J1/J2 pads",https://datasheet.lcsc.com/datasheet/pdf/219f7e7eb5f34457895b2c164313179f.pdf?productCode=C124378
"3.5mm mono jack, horizontal, threaded","J6, J7",2,PJ-3410,XKB,"Vertical THT nose-up, M7.7x0.75 plastic thread",C5146694,Extended,THT,,0.3483,VERTICAL jack (nose up ~19.5mm); panel hole >=7.8mm; plastic nose keeps sleeve grounds split; BENCH-VERIFY tip/sleeve vs footprint pad map before fab,https://datasheet.lcsc.com/datasheet/pdf/828fa49ea5e7f225aa21ffda61211ee1.pdf?productCode=C5146694
"1x4 female socket, 8.5mm",J10,1,PM254V-11-04-H85,XFCN,PinSocket 1x4 P2.54 TH (H85),C541851,Extended,THT,,0.0703,"Display socket on main nets: 1=GND 2=+3V3 3=SCL 4=SDA (SSD1306-style order). J9 pass-through deleted during layout - display runs from the module directly, hat J6 not needed.",https://datasheet.lcsc.com/datasheet/pdf/7912db05a9479e06d287e74aeb027dc2.pdf?productCode=C541851
10k 1%,R4,1,RC0402FR-0710KL,YAGEO,0402,C60490,Basic,SMT,,0.0059,Output amp gain set,https://www.lcsc.com/product-detail/C60490.html
1k 1%,R6,1,RC0402FR-071KL,YAGEO,0402,C106235,Basic,SMT,,0.0062,Output series resistor (eurorack-standard output impedance / short protection),https://www.lcsc.com/product-detail/C106235.html
Dual JFET op-amp,U2,1,TL072CDT,ST,SOIC-8,C6961,Extended,SMT,,0.1627,Eurorack output amp x4.9 on +/-12V (2Vpp -> ~10Vpp); half B terminated,https://www.lcsc.com/product-detail/C6961.html
